File 	Datum 	StartZeit 	SZA  	AMF  	ChiSquare 	Fraunhofer_reference_log	Fraunhofer_reference_log Error 	Ring_Spectrum	Ring_Spectrum Error 	convolution_result_H2O	convolution_result_H2O Error 	convolution_result_NO2	convolution_result_NO2 Error 	convolution_result_O3	convolution_result_O3 Error 	convolution_result_O4	convolution_result_O4 Error 	
-1	04.06.2022	03:36:01	89.2	73.49103230536744	0.0075122	-0.91781	0.0034379	8.3333e+25	3.1996e+24	8.3975e+22	5.6353e+22	7.0057e+16	3.66e+15	2.9088e+19	1.123e+19	1.0884e+43	2.3535e+43	
-1	04.06.2022	03:41:00	88.5	39.44731433365939	0.0053506	-0.92405	0.002904	6.7595e+25	2.7004e+24	3.2526e+22	4.7574e+22	5.9334e+16	3.0905e+15	2.8862e+19	9.4773e+18	2.2034e+43	1.9871e+43	
-1	04.06.2022	03:45:56	87.9	26.95541895711375	0.0038519	-0.93274	0.0024626	5.3999e+25	2.2916e+24	3.4286e+22	4.0338e+22	5.4349e+16	2.6208e+15	2.8018e+19	8.041e+18	1.673e+43	1.686e+43	
-1	04.06.2022	03:50:56	87.2	20.35663744489838	0.0029278	-0.94494	0.0021479	4.1362e+25	1.9976e+24	3.5916e+22	3.5189e+22	5.0813e+16	2.286e+15	2.6345e+19	7.0106e+18	1.6232e+43	1.4699e+43	
-1	04.06.2022	03:55:55	86.5	16.333685297995444	0.0026596	-0.94893	0.0020501	3.8096e+25	1.9032e+24	2.4687e+22	3.3566e+22	4.4343e+16	2.1813e+15	2.1175e+19	6.6835e+18	1.4976e+43	1.402e+43	
-1	04.06.2022	04:00:54	85.8	13.618431054524489	0.0029207	-0.94054	0.0021524	3.889e+25	1.9934e+24	3.5371e+22	3.524e+22	3.7436e+16	2.2912e+15	1.435e+19	7.0042e+18	5.4614e+42	1.4698e+43	
-1	04.06.2022	04:05:52	85.1	11.66900515239285	0.002607	-0.94147	0.0020321	3.4302e+25	1.8831e+24	3.0363e+22	3.3285e+22	3.3975e+16	2.1635e+15	1.2487e+19	6.6173e+18	1.4643e+43	1.3881e+43	
-1	04.06.2022	04:10:54	84.4	10.18057706661524	0.0019454	-0.95121	0.001755	2.6093e+25	1.6281e+24	2.6759e+22	2.8709e+22	3.1723e+16	1.8665e+15	1.3222e+19	5.7168e+18	9.0847e+42	1.1999e+43	
-1	04.06.2022	04:13:54	83.9	9.457331658103167	0.0014256	-0.96337	0.0015013	2.1037e+25	1.3935e+24	1.4628e+22	2.4587e+22	3.1019e+16	1.5977e+15	1.4348e+19	4.8936e+18	9.9665e+42	1.0263e+43	
-1	04.06.2022	04:16:52	83.5	8.834135465401221	0.0013604	-0.96538	0.0014667	1.8627e+25	1.3617e+24	1.4793e+22	2.3996e+22	2.9462e+16	1.5598e+15	1.5848e+19	4.7797e+18	1.4029e+43	1.0032e+43	
-1	04.06.2022	04:19:51	83.1	8.283079786567452	0.0013087	-0.96731	0.0014401	1.7707e+25	1.3354e+24	2.95e+22	2.3555e+22	2.8426e+16	1.5315e+15	1.678e+19	4.6892e+18	1.1327e+43	9.8428e+42	
-1	04.06.2022	04:22:51	82.6	7.792434282128745	0.0013812	-0.96167	0.0014807	1.8516e+25	1.3716e+24	6.0784e+22	2.4228e+22	2.6851e+16	1.5754e+15	7.99e+18	4.8173e+18	2.1528e+43	1.011e+43	
-1	04.06.2022	04:25:49	82.2	7.359773332515766	0.0012418	-0.96395	0.0014031	1.6034e+25	1.2998e+24	5.8315e+22	2.2984e+22	2.5942e+16	1.4942e+15	1.1384e+19	4.5661e+18	2.1617e+43	9.5802e+42	
-1	04.06.2022	04:28:48	81.8	6.969315238885779	0.001284	-0.96743	0.0014272	1.4431e+25	1.3224e+24	5.4992e+22	2.3357e+22	2.5198e+16	1.5186e+15	1.2269e+19	4.6447e+18	1.828e+43	9.7462e+42	
