File 	Datum 	StartZeit 	SZA  	AMF  	ChiSquare 	Fraunhofer_reference_log	Fraunhofer_reference_log Error 	Ring_Spectrum	Ring_Spectrum Error 	convolution_result_H2O	convolution_result_H2O Error 	convolution_result_NO2	convolution_result_NO2 Error 	convolution_result_O3	convolution_result_O3 Error 	
-1	04.06.2022	03:36:01	89.2	73.49103230536744	1.4242	-1.1746	0.1179	4.1192e+23	1.0463e+24	1.9229e+26	3.1658e+26	-1.1628e+18	9.0197e+17	4.8425e+19	4.5589e+18	
-1	04.06.2022	03:41:00	88.5	39.44731433365939	0.90096	-1.0909	0.093946	5.4539e+23	7.8783e+23	8.3218e+25	2.5642e+26	-7.4243e+17	7.0839e+17	4.6759e+19	3.5958e+18	
-1	04.06.2022	03:45:56	87.9	26.95541895711375	0.55394	-1.1029	0.074272	-4.0276e+23	6.388e+23	1.3926e+26	1.9984e+26	-7.1329e+17	5.5676e+17	4.5212e+19	2.8231e+18	
-1	04.06.2022	03:50:56	87.2	20.35663744489838	0.37054	-1.0907	0.060699	-7.6828e+23	5.7425e+23	1.3173e+26	1.6316e+26	-5.4727e+17	4.6045e+17	4.3145e+19	2.3196e+18	
-1	04.06.2022	03:55:55	86.5	16.333685297995444	0.26952	-1.072	0.051812	-3.1656e+23	4.9326e+23	1.0137e+26	1.3955e+26	-4.4116e+17	3.927e+17	4.0405e+19	1.9703e+18	
-1	04.06.2022	04:00:54	85.8	13.618431054524489	0.19246	-1.0432	0.044062	-3.528e+23	4.0491e+23	8.2948e+25	1.1805e+26	-3.6957e+17	3.307e+17	3.6663e+19	1.6656e+18	
-1	04.06.2022	04:05:52	85.1	11.66900515239285	0.13539	-1.0291	0.036946	-3.5647e+23	3.6362e+23	6.5023e+25	9.8985e+25	-3.3993e+17	2.771e+17	3.4234e+19	1.3975e+18	
-1	04.06.2022	04:10:54	84.4	10.18057706661524	0.10418	-1.0342	0.032451	-3.2692e+23	3.065e+23	6.5232e+25	8.6896e+25	-2.4322e+17	2.42e+17	3.2545e+19	1.2252e+18	
-1	04.06.2022	04:13:54	83.9	9.457331658103167	0.084604	-1.0324	0.029266	-1.9458e+23	2.6141e+23	6.5845e+25	7.8329e+25	-1.8979e+17	2.1802e+17	3.2311e+19	1.104e+18	
-1	04.06.2022	04:16:52	83.5	8.834135465401221	0.071574	-1.0304	0.026939	-2.111e+23	2.4994e+23	5.9507e+25	7.2048e+25	-1.7854e+17	2.0032e+17	3.1038e+19	1.0158e+18	
-1	04.06.2022	04:19:51	83.1	8.283079786567452	0.060285	-1.0309	0.024725	-1.2652e+23	2.257e+23	6.2457e+25	6.6112e+25	-1.5822e+17	1.8383e+17	2.9553e+19	9.3218e+17	
-1	04.06.2022	04:22:51	82.6	7.792434282128745	0.050795	-1.0136	0.022624	-3.1734e+23	2.1367e+23	4.986e+25	6.0671e+25	-1.4726e+17	1.7025e+17	2.8098e+19	8.5517e+17	
-1	04.06.2022	04:25:49	82.2	7.359773332515766	0.044855	-1.0051	0.021285	-1.5435e+23	1.9464e+23	3.6863e+25	5.7032e+25	-1.2372e+17	1.5942e+17	2.6838e+19	8.0401e+17	
-1	04.06.2022	04:28:48	81.8	6.969315238885779	0.037761	-1.0064	0.01956	-1.4505e+23	1.8153e+23	3.9091e+25	5.2331e+25	-1.0731e+17	1.4599e+17	2.581e+19	7.3753e+17	
-1	04.06.2022	04:31:48	81.3	6.615250781337573	0.032081	-1.0041	0.018021	-1.3088e+23	1.6554e+23	3.4737e+25	4.8237e+25	-1.1239e+17	1.3466e+17	2.4981e+19	6.8002e+17	
-1	04.06.2022	04:34:47	80.9	6.2961862673126365	0.027073	-1.0066	0.016558	-1.241e+23	1.4536e+23	3.0567e+25	4.4309e+25	-1.0353e+17	1.234e+17	2.3848e+19	6.2441e+17	
-1	04.06.2022	04:37:46	80.4	6.0056889672703955	0.022262	-1.0055	0.015016	-1.3717e+23	1.397e+23	3.0838e+25	4.0184e+25	-1.0791e+17	1.1223e+17	2.3254e+19	5.6647e+17	
-1	04.06.2022	04:40:46	80	5.7387132259250935	0.017016	-0.99999	0.013143	-1.3368e+23	1.2265e+23	3.006e+25	3.5132e+25	-7.5796e+16	9.795e+16	2.2406e+19	4.952e+17	
-1	04.06.2022	04:43:45	79.5	5.495174829218873	0.016955	-1.0068	0.013109	-1.1194e+23	1.1855e+23	3.6716e+25	3.5066e+25	-6.7367e+16	9.7747e+16	2.1524e+19	4.9427e+17	
-1	04.06.2022	04:46:45	79.1	5.269759725954195	0.014458	-1.0018	0.012122	-7.6284e+22	1.1054e+23	2.1749e+25	3.2386e+25	-5.1904e+16	9.0107e+16	2.0595e+19	4.5642e+17	
-1	04.06.2022	04:49:44	78.6	5.062785912801601	0.011605	-1.0007	0.010872	-1.087e+23	1.0059e+23	2.366e+25	2.902e+25	-8.0575e+16	8.0638e+16	1.9922e+19	4.0892e+17	
-1	04.06.2022	04:52:44	78.2	4.87005746600477	0.0096983	-1.0034	0.0099362	-9.4006e+22	8.8197e+22	2.4308e+25	2.6531e+25	-3.2815e+16	7.3582e+16	1.9253e+19	3.74e+17	
-1	04.06.2022	04:55:44	77.7	4.69114941005263	0.0096241	-1.0023	0.0098953	-1.1535e+23	9.2047e+22	2.9856e+25	2.6426e+25	-3.3815e+16	7.3548e+16	1.8655e+19	3.7248e+17	
-1	04.06.2022	04:58:44	77.2	4.524654887199287	0.0090123	-1.001	0.0095637	-8.9028e+22	8.8512e+22	2.4162e+25	2.5568e+25	-5.9141e+16	7.1271e+16	1.7746e+19	3.6045e+17	
-1	04.06.2022	05:01:43	76.8	4.370185375347744	0.0080815	-0.9947	0.0090753	-1.0044e+23	8.2875e+22	1.8394e+25	2.4219e+25	-4.7061e+16	6.7256e+16	1.7276e+19	3.4136e+17	
-1	04.06.2022	05:04:43	76.3	4.224952404458855	0.007806	-0.99311	0.0089148	-7.9818e+22	7.893e+22	1.3403e+25	2.3799e+25	-3.8709e+16	6.6024e+16	1.6459e+19	3.3551e+17	
-1	04.06.2022	05:07:43	75.8	4.08891241582455	0.005594	-0.98899	0.0075524	-1.0119e+23	6.992e+22	9.7286e+24	2.0156e+25	-2.3802e+16	5.601e+16	1.6052e+19	2.8408e+17	
-1	04.06.2022	05:10:43	75.4	3.961240737063759	0.0045465	-0.99486	0.0068003	-9.8276e+22	6.3043e+22	1.3737e+25	1.8162e+25	-3.1993e+16	5.0551e+16	1.5483e+19	2.5603e+17	
-1	04.06.2022	05:13:43	74.9	3.841208313156626	0.0039839	-0.99982	0.0063928	-6.4251e+22	6.1694e+22	1.5002e+25	1.702e+25	-2.7262e+16	4.7117e+16	1.4948e+19	2.3967e+17	
-1	04.06.2022	05:16:43	74.4	3.728168344990304	0.0032242	-1.0049	0.0057482	-8.9624e+22	5.4559e+22	1.6041e+25	1.5314e+25	-2.7216e+16	4.2389e+16	1.4602e+19	2.1563e+17	
-1	04.06.2022	05:19:43	74	3.621544875266127	0.0028733	-1.0068	0.0054217	-7.3527e+22	4.9713e+22	1.7419e+25	1.4453e+25	-1.6097e+16	4.0032e+16	1.4235e+19	2.0361e+17	
-1	04.06.2022	05:22:43	73.5	3.520823444109284	0.0024312	-1.0099	0.0049959	-5.7322e+22	4.6626e+22	1.6953e+25	1.3301e+25	-1.3891e+16	3.6776e+16	1.3833e+19	1.8733e+17	
-1	04.06.2022	05:25:42	73	3.4260581424835324	0.0025385	-1.0038	0.0050843	-7.1173e+22	4.5388e+22	1.3019e+25	1.3581e+25	-1.0327e+16	3.772e+16	1.329e+19	1.9136e+17	
-1	04.06.2022	05:28:42	72.6	3.3357777352689433	0.0025267	-1.0026	0.0050751	-6.6784e+22	4.6725e+22	1.0154e+25	1.3545e+25	-1.9837e+16	3.7645e+16	1.2928e+19	1.9093e+17	
-1	04.06.2022	05:31:42	72.1	3.250152815148109	0.0021581	-1.0041	0.0046874	-7.6662e+22	4.2492e+22	1.5205e+25	1.2522e+25	-2.0449e+15	3.4882e+16	1.2362e+19	1.7649e+17	
-1	04.06.2022	05:34:42	71.6	3.1688459161815388	0.0019987	-0.99924	0.0045174	-7.5637e+22	4.0828e+22	1.1981e+25	1.205e+25	-1.7452e+16	3.3404e+16	1.1992e+19	1.6979e+17	
-1	04.06.2022	05:37:42	71.1	3.091551360518517	0.0020025	-1.0027	0.0045227	-6.4099e+22	4.1689e+22	9.5402e+24	1.2061e+25	-1.6107e+16	3.3474e+16	1.1489e+19	1.7e+17	
-1	04.06.2022	05:40:41	70.7	3.018390491567066	0.0017482	-0.99876	0.0042336	-8.1427e+22	3.8989e+22	8.6865e+24	1.1274e+25	-1.5803e+16	3.1171e+16	1.1146e+19	1.5882e+17	
-1	04.06.2022	05:43:41	70.2	2.9482944358394128	0.0018838	-1.001	0.0043867	-6.6955e+22	3.9825e+22	8.7912e+24	1.1696e+25	-3.2921e+16	3.2423e+16	1.0782e+19	1.6486e+17	
-1	04.06.2022	05:46:41	69.7	2.8814516430118755	0.0015801	-0.99614	0.0040097	-5.6658e+22	3.5686e+22	8.044e+24	1.0712e+25	-2.1516e+16	2.983e+16	1.0415e+19	1.51e+17	
-1	04.06.2022	05:49:41	69.2	2.8176515608690464	0.0014043	-0.99862	0.0037895	-5.3072e+22	3.4998e+22	6.5888e+24	1.0101e+25	-2.6377e+16	2.8013e+16	9.9852e+18	1.4236e+17	
